全称,简写,中文名称,地区代码,地区代码取值位数,登记机关代码
Abu Dhabi,ae_az,阿联酋,18012900000000000000000000000000,10,1223792981
Dubai,ae_du,迪拜,18012901000000000000000000000000,10,1223793001
Albania,al,阿尔巴尼亚,18024500000000000000000000000000,10,1223792982
Australia,au,澳大利亚,18060100000000000000000000000000,10,1223792984
Aruba,aw,阿鲁巴,18041500000000000000000000000000,10,1223792983
Barbados,bb,巴巴多斯,18041300000000000000000000000000,10,1223792988
Bangladesh,bd,孟加拉国,18013000000000000000000000000000,10,1223792987
Belgium,be,比利时,18020800000000000000000000000000,10,1223792990
Bulgaria,bg,保加利亚,18020900000000000000000000000000,10,1223792995
Bahrain,bh,巴林,18013500000000000000000000000000,10,1223792986
Saint Barthélemy,bl,法属圣巴托洛缪岛,18020310000000000000000000000000,10,1223793039
Bermuda,bm,百慕大,18020105020200000000000000000000,10,1223792992
Bolivia,bo,玻利维亚,18050800000000000000000000000000,10,1223792993
Brazil,br,巴西,18050200000000000000000000000000,10,1223792994
Bahamas,bs,巴哈马,18041700000000000000000000000000,10,1223792985
Belarus,by,白俄罗斯,18021000000000000000000000000000,10,1223792989
Belize,bz,伯利兹,18041600000000000000000000000000,10,1223792991
Canada,ca,加拿大,18040200000000000000000000000000,14,1222502482
New Brunswick (Canada),ca_nb,新不伦瑞克省（加拿大）,18040204000000000000000000000000,10,1223793025
Newfoundland and Labrador (Canada),ca_nl,纽芬兰和拉布拉多（加拿大）,18040210000000000000000000000000,10,1223793027
Nova Scotia (Canada),ca_ns,新斯科舍省（加拿大）,18040202000000000000000000000000,10,1223793029
Prince Edward Island (Canada),ca_pe,爱德华王子岛（加拿大）,18040207000000000000000000000000,10,1223793033
Quebec (Canada),ca_qc,魁北克（加拿大）,18040201000000000000000000000000,10,1223793035
Switzerland,ch,瑞士,18021100000000000000000000000000,10,1223793043
Cura?ao,cw,库拉索,18022913000000000000000000000000,10,1223792998
Cyprus,cy,塞浦路斯,18010700000000000000000000000000,10,1223792959
Germany,de,德国,18020200000000000000000000000000,13,
Denmark,dk,丹麦,18021500000000000000000000000000,10,1223792999
Dominican Republic,do,多米尼加,18040500000000000000000000000000,10,1223793000
Spain,es,西班牙,18021700000000000000000000000000,10,1223793042
Finland,fi,芬兰,18021800000000000000000000000000,10,1223793002
France,fr,法国,18020300000000000000000000000000,10,
United Kingdom,gb,英国,18020100000000000000000000000000,14,1222502488
French Guiana,gf,法属圭那亚,18020301000000000000000000000000,10,1223793003
Guernsey,gg,根西（英属地）,18020105010100000000000000000000,10,1223793008
